Month,PRCP
1,3.07
1,3.23
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
1,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
2,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
3,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
5,99.99
6,7.13
6,99.99
6,99.99
6,99.99
6,99.99
6,99.99
6,99.99
6,99.99
6,99.99
6,99.99
6,99.99
7,99.99
7,99.99
7,99.99
7,99.99
7,99.99
7,99.99
7,99.99
7,99.99
8,99.99
8,99.99
8,99.99
8,99.99
8,99.99
9,99.99
9,99.99
9,99.99
9,99.99
9,99.99
9,99.99
10,5.99
10,99.99
10,99.99
10,99.99
10,99.99
11,99.99
11,99.99
11,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
12,99.99
